#date version
# https://en.wikipedia.org/wiki/Ruby_(programming_language)
1995-12-21 0.95
1996-12-25 1.0
1998-12-01 1.2
1999-08-08 1.4
2000-09-01 1.6
# https://www.ruby-lang.org/en/downloads/releases/
2002-03-01 1.6.7
2003-08-04 1.8.0
2004-12-26 1.8.2
2005-09-21 1.8.3
2005-12-24 1.8.4
2006-08-29 1.8.5
2007-03-12 1.8.6
2007-12-25 1.9.0
2008-05-31 1.8.7
2008-08-11 1.8.6-p287
2008-08-11 1.8.7-p72
2009-01-30 1.9.1
2009-04-18 1.8.6-p368
2009-04-18 1.8.7-p160
2009-05-12 1.9.1-p129
2009-07-20 1.9.1-p243
2009-12-07 1.9.1-p376
2009-12-25 1.8.7-p248
2010-06-23 1.8.7-p299
2010-07-02 1.9.1-p429
2010-08-16 1.8.7-p302
2010-08-16 1.9.1-p430
2010-08-18 1.9.2
2010-12-25 1.8.7-p330
2010-12-25 1.9.2-p136
2011-07-02 1.8.7-p352
2011-07-15 1.9.2-p290
2011-10-31 1.9.3
2012-02-16 1.9.3-p125
2012-04-20 1.9.3-p194
2012-04-21 1.9.2-p320
2012-06-29 1.8.7-p370
2012-10-12 1.9.3-p286
2012-11-09 1.9.3-p327
2012-12-25 1.9.3-p362
2013-01-17 1.9.3-p374
2013-02-06 1.9.3-p385
2013-02-22 1.9.3-p392
2013-02-24 2.0.0
2013-05-14 1.9.3-p429
2013-05-14 2.0.0-p195
2013-06-27 1.8.7-p374
2013-06-27 1.9.3-p448
2013-06-27 2.0.0-p247
2013-11-22 1.9.3-p484
2013-11-22 2.0.0-p353
2013-12-25 2.1.0
2014-02-24 1.9.3-p545
2014-02-24 2.0.0-p451
2014-02-24 2.1.1
2014-05-09 2.0.0-p481
2014-05-09 2.1.2
2014-05-16 1.9.3-p547
2014-08-19 1.9.2-p330
2014-09-19 2.0.0-p576
2014-09-19 2.1.3
2014-10-27 1.9.3-p550
2014-10-27 2.0.0-p594
2014-10-27 2.1.4
2014-11-13 1.9.3-p551
2014-11-13 2.0.0-p598
2014-11-13 2.1.5
2014-12-25 2.2.0
2015-02-25 2.0.0-p643
2015-03-03 2.2.1
2015-04-13 2.0.0-p645
2015-04-13 2.1.6
2015-04-13 2.2.2
2015-08-18 2.0.0-p647
2015-08-18 2.1.7
2015-08-18 2.2.3
2015-12-16 2.0.0-p648
2015-12-16 2.1.8
2015-12-16 2.2.4
2015-12-25 2.3.0
2016-03-30 2.1.9
2016-04-01 2.1.10
2016-04-26 2.2.5
2016-04-26 2.3.1
2016-11-15 2.2.6
2016-11-15 2.3.2
2016-11-21 2.3.3
2016-12-25 2.4.0
2017-03-22 2.4.1
2017-03-28 2.2.7
2017-03-30 2.3.4
2017-09-14 2.2.8
2017-09-14 2.3.5
2017-09-14 2.4.2
2017-12-14 2.2.9
2017-12-14 2.3.6
2017-12-14 2.4.3
2017-12-25 2.5.0
2018-03-28 2.2.10
2018-03-28 2.3.7
2018-03-28 2.4.4
2018-03-28 2.5.1
2018-10-17 2.3.8
2018-10-17 2.4.5
2018-10-17 2.5.2
2018-10-18 2.5.3
2018-12-25 2.6.0
2019-01-30 2.6.1
2019-03-13 2.5.4
2019-03-13 2.6.2
2019-03-15 2.5.5
2019-04-01 2.4.6
2019-04-17 2.6.3
2019-08-28 2.4.7
2019-08-28 2.5.6
2019-08-28 2.6.4
2019-10-01 2.4.8
2019-10-01 2.5.7
2019-10-01 2.6.5
2019-10-02 2.4.9
2019-12-25 2.7.0
2020-03-31 2.4.10
2020-03-31 2.5.8
2020-03-31 2.6.6
2020-03-31 2.7.1
2020-10-02 2.7.2
2020-12-25 3.0.0
2021-04-05 2.5.9
2021-04-05 2.6.7
2021-04-05 2.7.3
2021-04-05 3.0.1
2021-07-07 2.6.8
2021-07-07 2.7.4
2021-07-07 3.0.2
