#date version
# https://www.cs.mcgill.ca/~rwest/wikispeedia/wpcd/wp/t/TeX.htm
1982-01-01 82
# http://ftp.math.utah.edu/pub/tex/historic/systems/knuth/tex-impl/
1987-01-26 2.1
1987-04-01 2.2
1987-08-01 2.3
1987-08-01 2.4
1987-09-01 2.5
1987-11-01 2.6
1987-11-01 2.7
1987-12-17 2.8
1987-12-24 2.9
1988-05-29 2.92
1988-07-09 2.93
1988-11-14 2.94
1988-12-23 2.95
1989-03-03 2.96
1989-03-03 2.97
1989-03-03 2.98
1989-06-29 2.991
1990-03-27 3.0
1990-10-22 3.1
1991-04-08 3.14
1993-09-11 3.1415
1995-03-11 3.14159
# http://tug.org/svn/texlive/trunk/Build/source/texk/web2c/ChangeLog?view=co
2003-02-16 3.141592
2008-03-23 3.1415926
2014-01-22 3.14159265
2021-01-29 3.141592653
